_id,Categoria_de_premiação,Nome_do_projeto,Escola,Cidade,Estado,Ano
664bfc5da0606d60a6319601,Prêmio FETECMS ,Desenvolvimento de cateter bioativo proveniente do aproveitamento do líquido da castanha do caju (AnacardiumOccidentale) como alternativa na prevenção de infecção sistêmica,IFTO - Campus Araguaína, Araguaina,Tocantins (TO),2019
664bfc5da0606d60a6319602,Prêmio Incentivo à Inovação Tecnológica MOSTRATEC ,Análise e formulação dos compostos antibióticos da Amburana cearensis frente a culturas deStaphylococcus spp.,IFRJ - Campus Rio de Janeiro, Rio De Janeiro,Rio de Janeiro (RJ),2019
664bfc5ea0606d60a6319603,Prêmio Incentivo à Inovação Tecnológica MOSTRATEC ,Prevalência social nas mulheres em tratamento mastológico na cidade de São Paulo: um estudo com base no rastreamento oncológico do Sistema Único de Saúde (SUS),Escola Nova Lourenço Castanho, Sao Paulo,São Paulo (SP),2019
664bfc5ea0606d60a6319604,Prêmio Incentivo à Inovação Tecnológica MOSTRATEC ,O impacto da formação de identidade hipermoderna: ação comunicativa para saúde mental dos adolescentes (fase II),Colégio Dante Alighieri, Sao Paulo,São Paulo (SP),2019
664bfc5ea0606d60a6319605,Prêmio Incentivo à Inovação Tecnológica MOSTRATEC ,Sistema automatizado de recolhimento de varal (SARV),Colégio FAAT, Atibaia,São Paulo (SP),2019
664bfc5fa0606d60a6319606,Prêmio Genius Olympiad ,Manejo sustentável da Mauritia flexuoso para o desenvolvimento econômico do sudoeste maranhense,C.E. Prof. Edinan Moraes, Imperatriz,Maranhão (MA),2019
664bfc5fa0606d60a6319607,Prêmio Genius Olympiad ,Redução da toxicidade de efluentes de curtumes até às condições de água potável,Etec Prof. Carmelino Corrêa Júnior (Escola Agrícola), Franca,São Paulo (SP),2019
664bfc5fa0606d60a6319608,Prêmio Destaque 2019 ,Da água suja à energia limpa: utilizando o potencial energético do Rio Tietê,Colégio Renascença, Sao Paulo,São Paulo (SP),2019
664bfc60a0606d60a6319609,Prêmio Destaque 2019 ,Conversão Eletromecânica de Energia Sonora em Elétrica,Colégio Visconde de Porto Seguro - Unidade I, Sao Paulo,São Paulo (SP),2019
664bfc60a0606d60a631960a,Prêmio Excelência em Ciências ,Aplicação da semente da Moringa oleifera como solução à eutrofização,SENAI Vila Canaã, Goiania,Goiás (GO),2019
664bfc60a0606d60a631960b,Prêmio STEM Tech Camp Jr. ,"Seaweedplastic: criação de um plástico feito à base de algas marinhas (Gracilariabirdiae), a fim de retardar o processo de oxidação das frutas",Campo não encontrado,Campo não encontrado,Campo não encontrado,2019
664bfc61a0606d60a631960c,Prêmio STEM Tech Camp Jr. ,Avaliação do efeito de extratos trevinho (Trifoliumrepens) e tiririca (Cyperusrotundus) no cultivo in vitro de orquídeas,Colégio Estadual Jardim Porto Alegre - Unidade II, Toledo,Paraná (PR),2019
664bfc61a0606d60a631960d,Prêmio STEM Tech Camp Jr. ,Aquaponia familiar e escolar: uma alternativa sustentável para produção e segurança alimentar,E.E. Prof ª Hermelina de Albuquerque Passarella, Mairipora,São Paulo (SP),2019
664bfc62a0606d60a631960e,Prêmio STEM Tech Camp Jr. ,O uso do fio da garrafa PET na construção de cercas ecológicas para ovinos no semiárido nordestino,E.E. Monsenhor Raimundo Gurgel, Mossoro,Rio Grande do Norte (RN),2019
664bfc62a0606d60a631960f,Prêmio STEM Tech Camp Jr. ,Uso de diferentes concentrações de uva-do-japão (Hoveniadulcis) no controle do fungo Colletotrichum gloeosporioides in vitro e em Capsicumbaccatumvar.pendulum,Colégio Estadual Jardim Porto Alegre - Unidade II, Toledo,Paraná (PR),2019
664bfc62a0606d60a6319610,Prêmio STEM Tech Camp Jr. ,"Cabelo, autoestima e construção da identidade da menina negra no ensino fundamental II",E.E. Leila Mara Avelino, Sumare,São Paulo (SP),2019
664bfc63a0606d60a6319611,Prêmio STEM Tech Camp Jr. ,"A casa de açaí: material de construção à base de caroço de açaí como alternativa segura, sustentável e acessível às comunidades da periferia amazônica",E.E.E.M. Prof ª Ernestina Pereira Maia, Moju,Pará (PA),2019
664bfc63a0606d60a6319612,Prêmio STEM Tech Camp Jr. ,Captação de pó basáltico,E.E. Sérvulo Pereira de Araújo Ensino Médio, Bodo,Rio Grande do Norte (RN),2019
664bfc63a0606d60a6319613,Prêmio STEM Tech Camp Jr. ,Saburâmica: uma opção ecológica,E.E. Doutor José Fernandes de Melo, Pau Dos Ferros,Rio Grande do Norte (RN),2019
664bfc64a0606d60a6319614,Prêmio STEM Tech Camp Jr. ,BioCanudo: uma alternativa ecológica para a produção de canudinhos biodegradáveis,E.E. Culto à Ciência, Campinas,São Paulo (SP),2019
664bfc64a0606d60a6319615,National Youth Science Camp (NYSC) ,Biopolímeros do Quiabo e do Mandacaru para tratamento de água,Colégio Estadual João Vilas Boas, Livramento Do Brumado,Bahia (BA),2019
664bfc65a0606d60a6319616,National Youth Science Camp (NYSC) ,BioCanudo: uma alternativa ecológica para a produção de canudinhos biodegradáveis,E.E. Culto à Ciência, Campinas,São Paulo (SP),2019
664bfc65a0606d60a6319617,Intel ISEF ,Aplicação da semente da Moringa oleifera como solução à eutrofização,SENAI Vila Canaã, Goiania,Goiás (GO),2019
