Categoria_de_premiação,Nome_do_projeto,Escola,Cidade,Estado,Ano
Prêmio Agência USP de Inovação,Evasão escolar e a desumanização: um estudo à luz do pensamento de Paulo Freire ,Escola Alef Peretz - Unidade Paraisópolis, Sao Paulo,São Paulo (SP),2023
Prêmio Agência USP de Inovação,Uso de narrativas imersivas na prevenção e combate ao bullying no ambiente escolar ,Colégio Dante Alighieri, Sao Paulo,São Paulo (SP),2023
Prêmio CRT-SP,Bioconcreto: tecnologia do concreto autorregenerativo com ênfase na bactéria Bacillus subtilis ,Etec Polivalente de Americana, Americana,São Paulo (SP),2023
Prêmio CRT-SP,"Periferização, segregação e especulação imobiliária relacionadas ao projeto Minha Casa, Minha Vida em Limeira - SP ",Campo não encontrado,Campo não encontrado,Campo não encontrado,2023
Prêmio Museu Paulista da USP,D’arte - democratização da arte em espaços socioculturais ,Campo não encontrado,Campo não encontrado,Campo não encontrado,2023
Prêmio Museu Paulista da USP,História em silêncio: entre as lembranças e a construção da identidade do sujeito surdo ,Centro Estadual de Capacitação de Educadores e Atendimento ao Surdo, Mossoró,Rio Grande do Norte (RN),2023
Prêmio Museu Paulista da USP,Inclusão social no âmbito escolar: desenvolvimento de instrumento matemático como ferramenta educativa para deficientes visuais ,EE SILVESTRE VERAS BARBOSA ENS 1 E 2 GRAUS, Parau,Rio Grande do Norte (RN),2023
Prêmio Museu Paulista da USP,O empoderamento feminino a partir dos artesanatos feitos com a palha do licuri na comunidade quilombola Vargem do Sal ,Colégio Estadual Norberto Fernandes, Cacule,Bahia (BA),2023
Menção honrosa da SBPC na FEBRACE,Caminhos para segurança alimentar: a aplicação do potencial nutricional e culinário da chaya (Cnidoscolus aconitifolius) ,E.E.M. Governador Adauto Bezerra, Juazeiro Do Norte,Ceará (CE),2023
Projeto Destaque da SBPC na FEBRACE,Uso da fibra de paina (Ceiba pentandra) como substrato de ilhas flutuantes filtrantes ,Colégio Militar do Recife, Recife,Pernambuco (PE),2023
2º lugar,MDFolhas: otimização do MDF tradicional para o atendimento do mercado atual ,Etec Monte Mor, Monte Mor,São Paulo (SP),2023
1º lugar,Ilhas do conhecimento - jogo digital desenvolvido para mitigar o déficit pedagógico-cognitivo em tempos de pós-pandemia ,Colégio Militar de Belo Horizonte, Belo Horizonte,Minas Gerais (MG),2023
Prêmio Manual do Mundo,Mulheres negras fazendo ciência: iniciação científica de jovens negras ,CEFET-RJ - Campus Maria da Graça, Rio De Janeiro,Rio de Janeiro (RJ),2023
2º Lugar,NOIVA: um novo objeto de investigação ambiental para o monitoramento cidadão de microplástico na água ,IFPR - Campus Paranaguá, Paranagua,Paraná (PR),2023
1º Lugar,Sistema eletrônico de detecção e gerenciamento de incêndios para unidades de conservação ,IFBA - Campus Seabra, Seabra,Bahia (BA),2023
Prêmio Marinha do Brasil,Mauritia: um sistema com flutuabilidade aquática para limpeza e coagulação de rios e lagos através de agentes orgânicos ,E.E. Irmã Santina Rioli, Macapa,Amapá (AP),2023
2º Lugar em Mentalidade Marítima,Clean water ,Colégio Diocesano Santa Luzia, Mossoro,Rio Grande do Norte (RN),2023
1º Lugar em Mentalidade Marítima,Transponder para embarcações: um estudo social de prevenção a acidentes na região de Barcarena - PA 4ª fase startup ,Sistema de Ensino Inove, Abaetetuba,Pará (PA),2023
Prêmio Defesa Civil do Estado de São Paulo,Clean water ,Colégio Diocesano Santa Luzia, Mossoro,Rio Grande do Norte (RN),2023
Prêmio Defesa Civil do Estado de São Paulo,Ibiry ,Colégio Técnico e Industrial de Guaratinguetá, Guaratingueta,São Paulo (SP),2023
Prêmio Defesa Civil do Estado de São Paulo,"Sistema de coleta e armazenagem de água da chuva a partir de materiais de baixo custo, uma alternativa de combate à seca no semiárido nordestino ",E.E. Monsenhor Raimundo Gurgel, Mossoró,Rio Grande do Norte (RN),2023
Prêmio Centro Estadual de Educação Tecnológica Paula Souza,Museu virtual Catu em retrato: construção e validação de um produto educacional para o ensino de história com professores e estudantes da Educação Básica ,IF Baiano - Campus Catu, Catu,Bahia (BA),2023
Prêmio Centro Estadual de Educação Tecnológica Paula Souza,Caminhos para segurança alimentar: a aplicação do potencial nutricional e culinário da chaya (Cnidoscolus aconitifolius) ,E.E.M. Governador Adauto Bezerra, Juazeiro Do Norte,Ceará (CE),2023
Prêmio Centro Estadual de Educação Tecnológica Paula Souza,Prototipação de aplicativo para coordenação de integração curricular das escolas de tempo integral ,Colégio Estadual Gomes de Souza Ramos, Anapolis,Goiás (GO),2023
Prêmio de Inovação Junior - HackScience,Análise da composição química do óleo essencial da Senecio oleosus para composição de um curativo alternativo bioativo ,Colégio Bom Jesus Diocesano, Lages,Santa Catarina (SC),2023
Prêmio de Inovação Junior - HackScience,Produção de uma pomada para o tratamento de ferimentos cutâneos ,IF Baiano - Campus Catu, Catu,Bahia (BA),2023
Prêmio de Inovação Junior - HackScience,MicroRNA como marcadores de caquexia no hepatocarcinoma - fase 2 ,Colégio Degraus, Jundiai,São Paulo (SP),2023
