Categoria_de_premiação,Nome_do_projeto,Escola,Cidade,Estado,Ano
Prêmio SBBq ,Estudo in silico do efeito antidepressivo da casca da Musa paradisiaca utilizando modelos computacionais: envolvimento do sistema dopaminérgico na depressão,Colégio Murialdo, Ararangua,Santa Catarina (SC),2021
Prêmio SBBq ,"Desenvolvimento de cápsulas/drágeas hidrossolúveis a partir de Jatropha gossypiifolia, Anacardium occidentale e Zea mays: um método inovador no combate aos mosquitos hematófagos",E.E.M.T.I. Marconi Coelho Reis, Cascavel,Ceará (CE),2021
Prêmio SBBq ,Investigação do potencial tóxico da quercetina na doença de Parkinson,IFRJ - Campus Rio de Janeiro, Rio De Janeiro,Rio de Janeiro (RJ),2021
Prêmio SBBq ,Estudo da viabilidade da extração de canabidioides da Ruta graveolens para possível controle dos tremores do Parkinson,E.E.E.M. Elisa Tramontina, Carlos Barbosa,Rio Grande do Sul (RS),2021
Prêmio Destaque do Ano Ciências Moleculares - Mérito Acadêmico ,Reaproveitamento dos resíduos de conchas de ostras provenientes de restaurantes e áreas de cultivo de Sambaqui e Santo Antônio de Lisboa,IFSC - Campus Florianópolis, Florianopolis,Santa Catarina (SC),2021
Prêmio Destaque do Ano Ciências Moleculares - Interdisciplinaridade ,Periódico virtual diário de classe: novos paradigmas para uma educação democrática no século XXI,Campo não encontrado,Campo não encontrado,Campo não encontrado,2021
Prêmio Poli Cidadã de Tecnologia e Desenvolvimento Social - Menção Honrosa ,PACOR: o mundo colorido não visto,Escola SESI-SP de Santa Bárbara D'Oeste (CE 099), Santa Barbara D'Oeste,São Paulo (SP),2021
Prêmio Poli Cidadã de Tecnologia e Desenvolvimento Social - Menção Honrosa ,M.E2.L. V2: conscientização energética para a comunidade,Escola Eliezer Steinbarg Max Nordau, Rio De Janeiro,Rio de Janeiro (RJ),2021
Prêmio Poli Cidadã de Tecnologia e Desenvolvimento Social - Destaque 2021 ,Estratégia para visualização de grandes massas de dados para medicina individualizada com foco na doença de Parkinson,Instituto Federal de Educação,Brasília,Tocantins (TO),2021
3º Lugar ,Vespertílio 02: robô semeador para agricultura familiar,EE de Educação Profissional Edson Queiroz, Cascavel,Ceará (CE),2021
2º Lugar ,Smartglove - protótipo de uma ferramenta para o ensino da língua brasileira de sinais,IFC - Campus Rio do Sul, Unidade Urbana,Tocantins (TO),2021
1º Lugar ,Carteira Falante: dispositivo identificador de cédulas para auxílio de deficientes visuais,IFSUL - Unidade Charqueadas, Charqueadas,Rio Grande do Sul (RS),2021
3º Lugar em Mentalidade Marítima ,Estratégias socioambientais para a conservação do bioma aquático amazônico: reaproveitamento da poluição plástica como alternativa de renda para a comunidade ribeirinha do rio Jarumã-Abaetetuba-PA,IFPA - Campus Abaetetuba, Abaetetuba,Pará (PA),2021
2º Lugar em Mentalidade Marítima ,Desenvolvimento de uma plataforma robótica submarina open source de baixo custo para o monitoramento de corais,Colégio Santa Cruz, Sao Paulo,São Paulo (SP),2021
1º Lugar em Mentalidade Marítima ,EcoDraga – uma alternativa para o lixo flutuante,Escola Firjan Sesi São Gonçalo, Sao Goncalo,Rio de Janeiro (RJ),2021
Prêmio Defesa Civil do Estado de São Paulo ,Reúso de águas pluviais e suas utilizações,Campo não encontrado,Campo não encontrado,Campo não encontrado,2021
Prêmio Defesa Civil do Estado de São Paulo ,Aplicação de resíduos agroindustriais no combate do mosquito causador de arboviroses (Aedes aegypti),Colégio Alfa Premium, Toledo,Paraná (PR),2021
Prêmio Defesa Civil do Estado de São Paulo ,Tecnologia alternativa e sustentável no combate à mosca-negra- dos-citros (Aleurocanthus woglumi Ashby – Aleyrodidae),Colégio Estadual Prefeito Anfilófio Fernandes Viana, Umbauba,Sergipe (SE),2021
Prêmio Associação dos Engenheiros Politécnicos ,Análise de água automatizada: desenvolvimento de um drone à base de microcontroladores,Etec Benedito Storani, Jundiai,São Paulo (SP),2021
Prêmio Associação dos Engenheiros Politécnicos ,Near Bionics - Prótese transradial de baixo custo com sensoriamento miométrico por infravermelho,Fundação Matias Machline, Manaus,Amazonas (AM),2021
Prêmio Associação dos Engenheiros Politécnicos ,Protótipo de robô autônomo limpador de resíduos de baixo volume em praias com areia fina,Colégio Técnico de Campinas - UNICAMP, Campinas,São Paulo (SP),2021
Prêmio Associação dos Engenheiros Politécnicos ,Engenharia sustentável Fase II: a inovação no mercado de óculos a partir da elaboração de armações com o uso de fibras vegetais e materiais reciclados,Escola SESI de Ensino Médio Arthur Aluízio Daudt, Sapucaia Do Sul,Rio Grande do Sul (RS),2021
Prêmio Centro Estadual de Educação Tecnológica Paula Souza ,Revesteggs: ovos com mais qualidade,Escola Estadual Dário Gomes de Lima, Flores,Pernambuco (PE),2021
Prêmio Centro Estadual de Educação Tecnológica Paula Souza ,Plástico biodegradável obtido a partir da casca da laranja,Centro de Ensino Médio 02 do Gama, Gama,Distrito Federal (DF),2021
Prêmio Centro Estadual de Educação Tecnológica Paula Souza ,Dispositivo de fisioterapia,E.E. Pastor Roberto Rodrigues de Azevedo, Hortolandia,São Paulo (SP),2021
Prêmio Centro Estadual de Educação Tecnológica Paula Souza ,Avaliação do potencial repelente do extrato dos frutos de noni (Morinda citrifolia) aplicado em embalagens alimentícias para contenção de carunchos (Sitophilus spp. e Tribolium castaneum),Centro Integrado SESI/SENAI Aparecida do Taboado, Aparecida Do Taboado,Mato Grosso do Sul (MS),2021
Prêmio Por Um Mundo Sem Lixo ,Quais fatores facilitam a reciclagem de resíduos domésticos feita por uma população? Uma abordagem comparativa para entender como podemos reciclar mais em São Paulo,Colégio Giordano Bruno, Sao Paulo,São Paulo (SP),2021
3º Lugar ,Lixeira Descontaminadora Ultravioleta - LDU,Escola SESI - Unidade Prata, Campina Grande,Paraíba (PB),2021
2º Lugar ,Eco telha: desenvolvimento da telha ecológica de baixo custo à base do bagaço e palha da cana-de-açúcar (Saccharum officinarum) e seu potencial de aplicação em habitações,SESI CE 259, Ribeirao Preto,São Paulo (SP),2021
1º Lugar ,SmartHummus - composteira doméstica automatizada integrada a aplicativo,Colégio Técnico de Campinas - UNICAMP, Campinas,São Paulo (SP),2021
Prêmio Destaque Instituto 3M ,"Coronavírus: depressão, irritabilidade e mudança de rotina em brasileiros durante o isolamento social",31E.E. Culto à Ciência, Campinas,São Paulo (SP),2021
Prêmio Destaque Instituto 3M ,Desenvolvimento de um copo sustentável a partir do amido da jaca mole,Etec Polivalente de Americana, Americana,São Paulo (SP),2021
Prêmio Destaque Instituto 3M ,Reupilhagem - desenvolvimento de dispositivo para a abertura de pilhas tipo AA,Etec Polivalente de Americana, Americana,São Paulo (SP),2021
Meninas em STEM ,PACOR: o mundo colorido não visto,Escola SESI-SP de Santa Bárbara D'Oeste (CE 099), Santa Barbara D'Oeste,São Paulo (SP),2021
Meninas em STEM ,Fibra caulinar de coco e resina de cajueiro para produção de máscara biodegradável,Escola Municipal José Inácio de Carvalho, Antonio Martins,Rio Grande do Norte (RN),2021
Meninas em STEM ,"Coronavírus: depressão, irritabilidade e mudança de rotina em brasileiros durante o isolamento social",31E.E. Culto à Ciência, Campinas,São Paulo (SP),2021
Feira Brasileira de Iniciação Científica - FEBIC ,Os malefícios do trabalho com a castanha do caju: luva artesanal de borracha no combate às queimaduras do óleo anacárdico nas mãos dos castanheiros,Escola Municipal Francisca Serafim de Souza , Porto Do Mangue,Rio Grande do Norte (RN),2021
Feira Brasileira de Iniciação Científica - FEBIC ,Aquaponia como solução acessível nas comunidades carentes,C.E. TIA CONCEIÇÃO - Peter Pan, Vassouras,Rio de Janeiro (RJ),2021
Feira Brasileira de Iniciação Científica - FEBIC ,Plástico biodegradável obtido a partir da casca da laranja,Centro de Ensino Médio 02 do Gama, Gama,Distrito Federal (DF),2021
Feira Brasileira de Iniciação Científica - FEBIC ,Desenvolvimento de software para simulação de sistemas fotovoltaicos em ambiente 3D para aplicação no ensino virtual,CEFET-MG - Campus Curvelo , Curvelo,Minas Gerais (MG),2021
Feira Brasileira de Iniciação Científica - FEBIC ,Coronaparty: por que as pessoas de Pau dos Ferros-RN não cumprem o isolamento social?,E.E. Doutor José Fernandes de Melo, Pau Dos Ferros,Rio Grande do Norte (RN),2021
MOCITEC JOVEM - Mostra Científica e Tecnológica dos Jovens ,SMAP - sistema móvel anti-pragas,Colégio Casulo, Rio Das Ostras,Rio de Janeiro (RJ),2021
MOCITEC JOVEM - Mostra Científica e Tecnológica dos Jovens ,Software de reconhecimento de sinais,Etec Lauro Gomes, Sao Bernardo Do Campo,São Paulo (SP),2021
MOCITEC JOVEM - Mostra Científica e Tecnológica dos Jovens ,Síntese de carvões ativados magnéticos a partir de resíduos de poliestireno (isopor) e aplicação como adsorvente de contaminantes orgânicos,CEFET-MG - Unidade Contagem, Contagem,Minas Gerais (MG),2021
Prêmio de Excelência FeNaDante ,Tupã - tráfego urbano com piezoeletricidade aplicada,Colégio Militar de Manaus, Manaus,Amazonas (AM),2021
Prêmio de Excelência FeNaDante ,Nanotecnologia biobaseadas no pecíolo da Mauritia flexuosa para aplicação em design sustentável,Centro Educacional Arteceb, Imperatriz,Maranhão (MA),2021
Prêmio de Excelência FeNaDante ,SMAP - sistema móvel anti-pragas,Colégio Casulo, Rio Das Ostras,Rio de Janeiro (RJ),2021
Prêmio de Excelência FeNaDante ,Guaruak: uma aplicação web para tradução de línguas indígenas,IFMS - Campus Dourados, Dourados,Mato Grosso do Sul (MS),2021
Prêmio de Excelência FeNaDante ,"Jovem, politize-se!",Sociedade Educacional Positivo Ltda. - Escolas Positivo, Curitiba,Paraná (PR),2021
Feira de Ciências do Semiárido Potiguar ,A utilização de resíduos da construção civil para a produção de fertilizante químico,Campo não encontrado,Campo não encontrado,Campo não encontrado,2021
Feira de Ciências do Semiárido Potiguar ,CicatriBIO: produção de formulações farmacêuticas a partir do látex da mangaba (Hancornia speciosa) para auxílio na cicatrização de úlceras cutâneas em pacientes diabéticos (Fase II),IFBaiano - Campus Catu, Catu,Bahia (BA),2021
INFOMATRIX Brasil ,CapSeed: síntese de revestimento inovador para sementes a partir de coproduto agroindustrial de Cocos nucifera L. e resina de Anacardium occidentale,E.E.M. Ronaldo Caminha Barbosa, Cascavel,Ceará (CE),2021
INFOMATRIX Brasil ,Estudo da viabilidade da extração de canabidioides da Ruta graveolens para possível controle dos tremores do Parkinson,E.E.E.M. Elisa Tramontina, Carlos Barbosa,Rio Grande do Sul (RS),2021
INFOMATRIX Brasil ,Cultivo da Mikania laevigata in vitro: buscando maiores teores de cumarina para tratamento da Asma,Colégio Dante Alighieri, Sao Paulo,São Paulo (SP),2021
INFOMATRIX Continental ,Tecnologia alternativa para aumento germinativo e potencialização de compostos bioativos em culturas de coentro a partir da biomassa de Dunaliella salina incorporada ao biofilme polimérico,Colégio Estadual Prefeito Anfilófio Fernandes Viana, Umbauba,Sergipe (SE),2021
INFOMATRIX Continental ,Síntese de carvões ativados magnéticos a partir de resíduos de poliestireno (isopor) e aplicação como adsorvente de contaminantes orgânicos,CEFET-MG - Unidade Contagem, Contagem,Minas Gerais (MG),2021
Veraño Nacional Científico Para Estudiantes Sobresalientes (VENCES) ,Detecção de doenças e desfolha de soja utilizando redes neurais convolucionais,IFMS - Campus Jardim, Jardim,Mato Grosso do Sul (MS),2021
MOSTRATEC ,Eletrocardiógrafo de baixo custo com aplicativo,Colégio Visconde de Porto Seguro - Unidade I, Sao Paulo,São Paulo (SP),2021
MOSTRATEC ,Protótipo de robô autônomo limpador de resíduos de baixo volume em praias com areia fina,Colégio Técnico de Campinas - UNICAMP, Campinas,São Paulo (SP),2021
MOSTRATEC ,Dispositivo rastreador de movimento ocular para pessoas com incapacidades motoras,IFSP - Campus Guarulhos, Guarulhos,São Paulo (SP),2021
MOSTRATEC ,pHmetro portátil: uso de smartphone na determinação do pH de soluções utilizando imagens digitais e quimiometria,IFRN - Campus Natal - Zona Norte, Natal,Rio Grande do Norte (RN),2021
MOSTRATEC ,Placas em Braille sustentáveis,Escola SESI de Educação Básica Industrial Abelardo Lopes, Maceio,Alagoas (AL),2021
MOSTRATEC ,Estufa com aquecimento suplementar: um estudo avaliativo para agricultura familiar a partir da compostagem sustentável de pelos e estercos,ESC EST DR ALEXANDRE VAZ TAVARES, Macapa,Amapá (AP),2021
MOSTRATEC ,Near Bionics - Prótese transradial de baixo custo com sensoriamento miométrico por infravermelho,Fundação Matias Machline, Manaus,Amazonas (AM),2021
MOSTRATEC ,Tecnologia alternativa para aumento germinativo e potencialização de compostos bioativos em culturas de coentro a partir da biomassa de Dunaliella salina incorporada ao biofilme polimérico,Colégio Estadual Prefeito Anfilófio Fernandes Viana, Umbauba,Sergipe (SE),2021
MOSTRATEC ,"Construção de um biodigestor para a decomposição de polímeros, utilizando o Zophobas morio",E.E.F.M. Deputado Joaquim de Figueiredo Correia, Iracema,Ceará (CE),2021
MOSTRATEC ,Estratégia para visualização de grandes massas de dados para medicina individualizada com foco na doença de Parkinson,Instituto Federal de Educação,Brasília,Tocantins (TO),2021
MOSTRATEC ,Painel inteligente,EEEFM DES CARLOS XAVIER PAES BARRETO, Vitoria,Espírito Santo (ES),2021
MOSTRATEC ,Jornada ao infinito: destino da matéria que ultrapassa o limite do horizonte de eventos,Colégio Delta, Anapolis,Goiás (GO),2021
MOSTRATEC ,Nanotecnologia biobaseadas no pecíolo da Mauritia flexuosa para aplicação em design sustentável,Centro Educacional Arteceb, Imperatriz,Maranhão (MA),2021
MOSTRATEC ,Barra de cereal: uma alternativa para a nutrição de alunos/atletas,EE GOV JOSÉ FRAGELLI, Cuiaba,Mato Grosso (MT),2021
MOSTRATEC ,Avaliação do potencial repelente do extrato dos frutos de noni (Morinda citrifolia) aplicado em embalagens alimentícias para contenção de carunchos (Sitophilus spp. e Tribolium castaneum),Centro Integrado SESI/SENAI Aparecida do Taboado, Aparecida Do Taboado,Mato Grosso do Sul (MS),2021
MOSTRATEC ,Síntese de carvões ativados magnéticos a partir de resíduos de poliestireno (isopor) e aplicação como adsorvente de contaminantes orgânicos,CEFET-MG - Unidade Contagem, Contagem,Minas Gerais (MG),2021
MOSTRATEC ,"Extração, caracterização e aplicação de cristais de piperina com agentes antifúngicos de bolores domésticos",COLÉGIO MILITAR DE BELÉM - CMBEL, Belem,Pará (PA),2021
MOSTRATEC ,Análise sensorial do bolo de caneca enriquecido com farinha produzida a partir de cascas de legumes,Escola SESI - Unidade Prata, Campina Grande,Paraíba (PB),2021
MOSTRATEC ,Potencial fungitóxico de diferentes extratos vegetais sobre o desenvolvimento in vitro do fitopatógeno causador da antracnose em frutos de bananeira - Fase IV,2Colégio Estadual Jardim Porto Alegre - Unidade II, Toledo,Paraná (PR),2021
MOSTRATEC ,Revesteggs: ovos com mais qualidade,Escola Estadual Dário Gomes de Lima, Flores,Pernambuco (PE),2021
MOSTRATEC ,Análise e desenvolvimento de turbinas eólicas tipo TEEV para áreas urbanas,IFPI - Campus Floriano , Floriano,Piauí (PI),2021
MOSTRATEC ,Reuso de águas pluviais e suas utilizações,CEFET-RJ - Campus Maracanã, Rio De Janeiro,Rio de Janeiro (RJ),2021
MOSTRATEC ,pHmetro portátil: uso de smartphone na determinação do pH de soluções utilizando imagens digitais e quimiometria,IFRN - Campus Natal - Zona Norte, Natal,Rio Grande do Norte (RN),2021
MOSTRATEC ,FIDERE: desenvolvimento de um App voltado à economia circular de brechós e associações do litoral norte gaúcho,IFRS - Campus Osório, Osorio,Rio Grande do Sul (RS),2021
MOSTRATEC ,Desenvolvimento de um mecanismo de retenção de microplásticos em estações de tratamento de água (ETAs),ACBNL - Colégio São José, Itajai,Santa Catarina (SC),2021
MOSTRATEC ,Tecnologias imersivas no ensino de astrobiologia,Colégio Dante Alighieri, Sao Paulo,São Paulo (SP),2021
MOSTRATEC ,Tecnologia alternativa e sustentável no combate à mosca-negra- dos-citros (Aleurocanthus woglumi Ashby – Aleyrodidae),Colégio Estadual Prefeito Anfilófio Fernandes Viana, Umbauba,Sergipe (SE),2021
MOSTRATEC ,Suporte para maçaneta de porta e dispensador de álcool automático como alternativa para reduzir a disseminação do coronavírus,IFTO - Campus Araguaína, Araguaina,Tocantins (TO),2021
4º Lugar em Ciências Agrárias ,Tecnologia alternativa e sustentável no combate à mosca-negra- dos-citros (Aleurocanthus woglumi Ashby – Aleyrodidae),Colégio Estadual Prefeito Anfilófio Fernandes Viana, Umbauba,Sergipe (SE),2021
4º Lugar em Ciências Agrárias ,Plástico biodegradável obtido a partir da casca da laranja,Centro de Ensino Médio 02 do Gama, Gama,Distrito Federal (DF),2021
4º Lugar em Ciências Agrárias ,Sistema de ventilação autônomo como forma de reduzir os impactos das altas temperaturas na produção de mel,E.E. Monsenhor Raimundo Gurgel, Mossoro,Rio Grande do Norte (RN),2021
4º Lugar em Ciências Biológicas ,Investigação do potencial tóxico da quercetina na doença de Parkinson,IFRJ - Campus Rio de Janeiro, Rio De Janeiro,Rio de Janeiro (RJ),2021
4º Lugar em Ciências Biológicas ,Estudo in silico do efeito antidepressivo da casca da Musa paradisiaca utilizando modelos computacionais: envolvimento do sistema dopaminérgico na depressão,Colégio Murialdo, Ararangua,Santa Catarina (SC),2021
4º Lugar em Ciências Biológicas ,Turtle Tech: dispositivo eletroeletrônico auxiliar na preservação da espécie de quelônio Mesoclemmys hogei,6Fundação Escola Técnica Liberato Salzano Vieira da Cunha, Novo Hamburgo,Rio Grande do Sul (RS),2021
4º Lugar em Ciências da Saúde ,Game balance: uma plataforma para análise do equilíbrio em pacientes pós AVC envolvendo técnicas de Gamificação,IFRN - Campus Santa Cruz, Santa Cruz,Rio Grande do Norte (RN),2021
4º Lugar em Ciências da Saúde ,Reúso de águas pluviais e suas utilizações,Campo não encontrado,Campo não encontrado,Campo não encontrado,2021
4º Lugar em Ciências da Saúde ,Painel inteligente,EEEFM DES CARLOS XAVIER PAES BARRETO, Vitoria,Espírito Santo (ES),2021
4º Lugar em Ciências Exatas e da Terra ,Análise da degradação de canudos biodegradáveis em amostras de água de regiões de escoamento pluvial em Porto Alegre,Colégio Farroupilha, Porto Alegre,Rio Grande do Sul (RS),2021
4º Lugar em Ciências Exatas e da Terra ,Desenvolvimento de filme plástico biodegradável a partir da Psidium guajava,Etec Polivalente de Americana, Americana,São Paulo (SP),2021
4º Lugar em Ciências Exatas e da Terra ,Proposta de uso dos ventos solares e fótons para geração de energia: uma análise científico-teórica,Colégio Claretiano - São Paulo, Sao Paulo,São Paulo (SP),2021
4º Lugar em Ciências Exatas e da Terra ,SmartHummus - composteira doméstica automatizada integrada a aplicativo,Colégio Técnico de Campinas - UNICAMP, Campinas,São Paulo (SP),2021
4º Lugar em Ciências Humanas ,Leitura cinematográfica “A Bela e a Fera”: uma análise do discurso sócio literário,Colégio Santa Luzia, Imperatriz,Maranhão (MA),2021
4º Lugar em Ciências Humanas ,Politização na educação: um estudo sob a perspectiva de Freire e Gramsci,Colégio Anglo Brasileiro, Salvador,Bahia (BA),2021
4º Lugar em Ciências Humanas ,O impacto do ensino a distância sobre a saúde mental durante o período de isolamento social,Colégio Arbos - Unidade SCS, Sao Caetano Do Sul,São Paulo (SP),2021
4º Lugar em Ciências Humanas ,"Da inspiração para a profissão: como as professoras das áreas técnicas, ditas masculinas, influenciam na permanência de mulheres nestes cursos",Campo não encontrado,Campo não encontrado,Campo não encontrado,2021
4º Lugar em Ciências Sociais Aplicadas ,Mobilidade urbana: dispositivo ecolocalizador para orientação de cegos em espaços públicos,Colégio Dante Alighieri, Sao Paulo,São Paulo (SP),2021
4º Lugar em Ciências Sociais Aplicadas ,O uso da paina na coleta de óleo de ambientes aquáticos e para fins de reflorestamento,COL MILITAR DE BRASILIA, Brasilia,Distrito Federal (DF),2021
4º Lugar em Ciências Sociais Aplicadas ,Joguedo: criação de jogos e brinquedos didáticos a partir do uso de materiais recicláveis,CEFET-MG / Campus Divinópolis, Divinopolis,Minas Gerais (MG),2021
4º Lugar em Engenharia ,ASLI - assento para o sentar e levantar de idosos,Fundação Escola Técnica Liberato Salzano Vieira da Cunha, Novo Hamburgo,Rio Grande do Sul (RS),2021
4º Lugar em Engenharia ,Desenvolvimento de software para simulação de sistemas fotovoltaicos em ambiente 3D para aplicação no ensino virtual,CEFET-MG - Campus Curvelo , Curvelo,Minas Gerais (MG),2021
4º Lugar em Engenharia ,Robonixo – o uso de sucata eletrônica e a sua contribuição para o desenvolvimento cognitivo,Colégio Objetivo Juazeiro, Juazeiro Do Norte,Ceará (CE),2021
4º Lugar em Engenharia ,Carteira Falante: dispositivo identificador de cédulas para auxílio de deficientes visuais,IFSUL - Unidade Charqueadas, Charqueadas,Rio Grande do Sul (RS),2021
3º Lugar em Ciências Agrárias ,BioStretch: síntese de polímero a partir de resíduos industriais,IFRS - Campus Osório, Osorio,Rio Grande do Sul (RS),2021
3º Lugar em Ciências Agrárias ,Eco telha: desenvolvimento da telha ecológica de baixo custo à base do bagaço e palha da cana-de-açúcar (Saccharum officinarum) e seu potencial de aplicação em habitações,SESI CE 259, Ribeirao Preto,São Paulo (SP),2021
3º Lugar em Ciências Agrárias ,Vespertílio 02: robô semeador para agricultura familiar,EE de Educação Profissional Edson Queiroz, Cascavel,Ceará (CE),2021
3º Lugar em Ciências Biológicas ,PróKid - prótese funcional para crianças,Etec Bento Quirino, Campinas,São Paulo (SP),2021
3º Lugar em Ciências Biológicas ,Zoodex: uma aventura pedagógica pela zoologia,IFRS - Campus Osório, Osorio,Rio Grande do Sul (RS),2021
3º Lugar em Ciências da Saúde ,CicatriBIO: produção de formulações farmacêuticas a partir do látex da mangaba (Hancornia speciosa) para auxílio na cicatrização de úlceras cutâneas em pacientes diabéticos (Fase II),IFBaiano - Campus Catu, Catu,Bahia (BA),2021
3º Lugar em Ciências da Saúde ,Aplicação de resíduos agroindustriais no combate do mosquito causador de arboviroses (Aedes aegypti),Colégio Alfa Premium, Toledo,Paraná (PR),2021
3º Lugar em Ciências Exatas e da Terra ,Extrator de óleo essencial: um experimento de baixo custo para o ensino de química orgânica no ensino médio,Escola Normal Rural de Limoeiro , Limoeiro Do Norte,Ceará (CE),2021
3º Lugar em Ciências Exatas e da Terra ,Politicando - aplicação de fiscalização e tratamento de dados políticos,Colégio Técnico de Campinas - UNICAMP, Campinas,São Paulo (SP),2021
3º Lugar em Ciências Exatas e da Terra ,pHmetro portátil: uso de smartphone na determinação do pH de soluções utilizando imagens digitais e quimiometria,IFRN - Campus Natal - Zona Norte, Natal,Rio Grande do Norte (RN),2021
3º Lugar em Ciências Humanas ,Manifesto das Pretas: uma ótica para a desconstrução do estigma racista e machista no campo da educação básica (final do ensino fundamental II e ensino médio),SESI Piatã - Escola Djalma Pessoa, Salvador,Bahia (BA),2021
3º Lugar em Ciências Humanas ,A problemática da fome e insegurança alimentar no Brasil e a agroecologia feminista como caminho alternativo,IFSP - Campus Registro, Registro,São Paulo (SP),2021
3º Lugar em Ciências Humanas ,Fatores associados à evasão escolar de jovens transgêneros no ensino básico brasileiro,Centro de Ensino SESI Gama , Gama,Distrito Federal (DF),2021
3º Lugar em Ciências Sociais Aplicadas ,Mulheres invisíveis: vivência das mulheres em situação de rua e sua relação com a higiene no período menstrual,E.E. Culto à Ciência, Campinas,São Paulo (SP),2021
3º Lugar em Ciências Sociais Aplicadas ,Guaruak: uma aplicação web para tradução de línguas indígenas,IFMS - Campus Dourados, Dourados,Mato Grosso do Sul (MS),2021
3º Lugar em Engenharia ,M.E2.L. V2: conscientização energética para a comunidade,Escola Eliezer Steinbarg Max Nordau, Rio De Janeiro,Rio de Janeiro (RJ),2021
3º Lugar em Engenharia ,Célula 3D com tecnologia RFID aplicada ao ensino médio,IFSP - Campus Campinas, Campinas,São Paulo (SP),2021
3º Lugar em Engenharia ,Desenvolvimento de um mecanismo de retenção de microplásticos em estações de tratamento de água (ETAs),ACBNL - Colégio São José, Itajai,Santa Catarina (SC),2021
3º Lugar em Engenharia ,Near Bionics - Prótese transradial de baixo custo com sensoriamento miométrico por infravermelho,Fundação Matias Machline, Manaus,Amazonas (AM),2021
2º Lugar em Ciências Agrárias ,Revesteggs: ovos com mais qualidade,Escola Estadual Dário Gomes de Lima, Flores,Pernambuco (PE),2021
2º Lugar em Ciências Biológicas ,Filme plástico biodegradável produzido através da biossíntese de celulose bacteriana utilizando resíduos agroindustriais,Centro Tecnológico Frederico Jorge Logemann, Horizontina,Rio Grande do Sul (RS),2021
2º Lugar em Ciências Biológicas ,Cultivo da Mikania laevigata in vitro: buscando maiores teores de cumarina para tratamento da Asma,Colégio Dante Alighieri, Sao Paulo,São Paulo (SP),2021
2º Lugar em Ciências da Saúde ,Avaliação do potencial repelente do extrato dos frutos de noni (Morinda citrifolia) aplicado em embalagens alimentícias para contenção de carunchos (Sitophilus spp. e Tribolium castaneum),Centro Integrado SESI/SENAI Aparecida do Taboado, Aparecida Do Taboado,Mato Grosso do Sul (MS),2021
2º Lugar em Ciências Exatas e da Terra ,Uso do aprendizado de máquina na identificação de padrões em ondas cerebrais,Colégio Técnico de Campinas - UNICAMP, Campinas,São Paulo (SP),2021
2º Lugar em Ciências Exatas e da Terra ,Casca de pinhão (Araucaria angustifolia) como agente redutor e estabilizante para obtenção de nanopartículas de prata de maneira ambientalmente sustentável,IFRS - Campus Caxias do Sul, Caxias Do Sul,Rio Grande do Sul (RS),2021
2º Lugar em Ciências Humanas ,"Coronavírus: depressão, irritabilidade e mudança de rotina em brasileiros durante o isolamento social",31E.E. Culto à Ciência, Campinas,São Paulo (SP),2021
2º Lugar em Ciências Humanas ,Imagens de Catu: tipologia documental para a construção de um museu iconográfico virtual para o município de Catu-BA,IFBaiano - Campus Catu, Catu,Bahia (BA),2021
2º Lugar em Ciências Humanas ,Desenvolvendo práticas pedagógicas e possibilitando novos olhares sobre o continente africano utilizando materiais audiovisuais disponibilizados em mídias sociais,Etec Monte Mor, Monte Mor,São Paulo (SP),2021
2º Lugar em Ciências Sociais Aplicadas ,O uso da arteterapia e estímulos sensoriais como potencializadores da memória e qualidade de vida em idosos,Escola Alef Peretz - Unidade Hebraica, Sao Paulo,São Paulo (SP),2021
2º Lugar em Engenharia ,Dispositivo rastreador de movimento ocular para pessoas com incapacidades motoras,IFSP - Campus Guarulhos, Guarulhos,São Paulo (SP),2021
2º Lugar em Engenharia ,Protótipo de robô autônomo limpador de resíduos de baixo volume em praias com areia fina,Colégio Técnico de Campinas - UNICAMP, Campinas,São Paulo (SP),2021
2º Lugar em Engenharia ,Resíduo descartado pela siderúrgica de Corumbá-MS como potencial para reaproveitamento na construção civil,IFMS - Campus Corumbá, Corumba,Mato Grosso do Sul (MS),2021
2º Lugar em Engenharia ,Eletrocardiógrafo de baixo custo com aplicativo,Colégio Visconde de Porto Seguro - Unidade I, Sao Paulo,São Paulo (SP),2021
1º Lugar em Ciências Agrárias ,Tecnologia alternativa para aumento germinativo e potencialização de compostos bioativos em culturas de coentro a partir da biomassa de Dunaliella salina incorporada ao biofilme polimérico,Colégio Estadual Prefeito Anfilófio Fernandes Viana, Umbauba,Sergipe (SE),2021
1º Lugar em Ciências Biológicas ,Nanotecnologia biobaseadas no pecíolo da Mauritia flexuosa para aplicação em design sustentável,Centro Educacional Arteceb, Imperatriz,Maranhão (MA),2021
1º Lugar em Ciências Biológicas ,Potencial fungitóxico de diferentes extratos vegetais sobre o desenvolvimento in vitro do fitopatógeno causador da antracnose em frutos de bananeira - Fase IV,2Colégio Estadual Jardim Porto Alegre - Unidade II, Toledo,Paraná (PR),2021
1º Lugar em Ciências da Saúde ,"Construção de um biodigestor para a decomposição de polímeros, utilizando o Zophobas morio",E.E.F.M. Deputado Joaquim de Figueiredo Correia, Iracema,Ceará (CE),2021
